流式输出内容被截断，只能显示最后 5000 行内容。
Image  5126: psnr: 15.31360 / bpp_real: 2.21875, saving in out/...
Image  5127: psnr: 13.61248 / bpp_real: 2.20312, saving in out/...
Image  5128: psnr: 18.35305 / bpp_real: 2.26562, saving in out/...
Image  5129: psnr: 19.01044 / bpp_real: 2.28125, saving in out/...
Image  5130: psnr: 11.49374 / bpp_real: 2.18750, saving in out/...
Image  5131: psnr: 17.54966 / bpp_real: 2.50000, saving in out/...
Image  5132: psnr: 13.49180 / bpp_real: 2.07812, saving in out/...
Image  5133: psnr: 14.51216 / bpp_real: 2.21875, saving in out/...
Image  5134: psnr: 11.04012 / bpp_real: 2.34375, saving in out/...
Image  5135: psnr: 17.03033 / bpp_real: 2.57812, saving in out/...
Image  5136: psnr: 14.94636 / bpp_real: 2.06250, saving in out/...
Image  5137: psnr: 11.04359 / bpp_real: 2.01562, saving in out/...
Image  5138: psnr: 16.55241 / bpp_real: 2.20312, saving in out/...
Image  5139: psnr: 20.40964 / bpp_real: 2.48438, saving in out/...
Image  5140: psnr: 13.51003 / bpp_real: 2.18750, saving in out/...
Image  5141: psnr: 11.52471 / bpp_real: 2.15625, saving in out/...
Image  5142: psnr: 11.88967 / bpp_real: 2.18750, saving in out/...
Image  5143: psnr: 12.03664 / bpp_real: 2.09375, saving in out/...
Image  5144: psnr: 14.63830 / bpp_real: 2.39062, saving in out/...
Image  5145: psnr: 16.06253 / bpp_real: 2.23438, saving in out/...
Image  5146: psnr: 16.21688 / bpp_real: 2.45312, saving in out/...
Image  5147: psnr: 12.44137 / bpp_real: 2.09375, saving in out/...
Image  5148: psnr: 17.52705 / bpp_real: 2.64062, saving in out/...
Image  5149: psnr: 10.76517 / bpp_real: 2.18750, saving in out/...
Image  5150: psnr: 13.16388 / bpp_real: 2.12500, saving in out/...
Image  5151: psnr: 14.16969 / bpp_real: 2.20312, saving in out/...
Image  5152: psnr: 12.74930 / bpp_real: 2.07812, saving in out/...
Image  5153: psnr: 14.02535 / bpp_real: 2.14062, saving in out/...
Image  5154: psnr: 13.04279 / bpp_real: 2.07812, saving in out/...
Image  5155: psnr: 14.54786 / bpp_real: 2.17188, saving in out/...
Image  5156: psnr: 13.03433 / bpp_real: 2.25000, saving in out/...
Image  5157: psnr: 12.61342 / bpp_real: 2.12500, saving in out/...
Image  5158: psnr: 16.33591 / bpp_real: 2.32812, saving in out/...
Image  5159: psnr: 17.61452 / bpp_real: 2.57812, saving in out/...
Image  5160: psnr: 11.30644 / bpp_real: 1.90625, saving in out/...
Image  5161: psnr: 11.60328 / bpp_real: 2.21094, saving in out/...
Image  5162: psnr: 14.55909 / bpp_real: 2.14062, saving in out/...
Image  5163: psnr: 13.30289 / bpp_real: 2.17188, saving in out/...
Image  5164: psnr: 16.56762 / bpp_real: 2.37500, saving in out/...
Image  5165: psnr: 19.16669 / bpp_real: 2.10938, saving in out/...
Image  5166: psnr: 18.90812 / bpp_real: 2.46875, saving in out/...
Image  5167: psnr: 16.87678 / bpp_real: 2.34375, saving in out/...
Image  5168: psnr: 12.14347 / bpp_real: 2.09375, saving in out/...
Image  5169: psnr: 15.42107 / bpp_real: 2.12500, saving in out/...
Image  5170: psnr: 13.71875 / bpp_real: 2.10938, saving in out/...
Image  5171: psnr: 13.96894 / bpp_real: 2.31250, saving in out/...
Image  5172: psnr: 18.19243 / bpp_real: 2.31250, saving in out/...
Image  5173: psnr: 12.91100 / bpp_real: 2.15625, saving in out/...
Image  5174: psnr: 13.07258 / bpp_real: 2.26562, saving in out/...
Image  5175: psnr: 15.50475 / bpp_real: 2.50000, saving in out/...
Image  5176: psnr: 13.77506 / bpp_real: 2.28125, saving in out/...
Image  5177: psnr: 15.69813 / bpp_real: 2.26562, saving in out/...
Image  5178: psnr: 16.47504 / bpp_real: 2.66406, saving in out/...
Image  5179: psnr: 18.97749 / bpp_real: 2.26562, saving in out/...
Image  5180: psnr: 12.14423 / bpp_real: 2.17188, saving in out/...
Image  5181: psnr: 13.94728 / bpp_real: 2.35938, saving in out/...
Image  5182: psnr: 16.22662 / bpp_real: 2.23438, saving in out/...
Image  5183: psnr: 20.86193 / bpp_real: 2.75000, saving in out/...
Image  5184: psnr: 11.75170 / bpp_real: 1.98438, saving in out/...
Image  5185: psnr: 14.08577 / bpp_real: 2.43750, saving in out/...
Image  5186: psnr: 14.62114 / bpp_real: 2.03125, saving in out/...
Image  5187: psnr: 11.94912 / bpp_real: 2.10938, saving in out/...
Image  5188: psnr: 13.69098 / bpp_real: 2.25000, saving in out/...
Image  5189: psnr: 16.59120 / bpp_real: 2.51562, saving in out/...
Image  5190: psnr: 14.91639 / bpp_real: 2.06250, saving in out/...
